sp,weber.length,head.width,pronotum.width,mandible.length,scape.length,eye.width,leg.length,label,caste
mchi,0.463286,0.342354,0.225352,0.20387,0.270119,0.067997,NA,LMC0172,w
mflo,0.464799,0.344307,0.251218,0.183456,0.301208,0.053848,0.513305,LMC0009,w
mflo,0.49544,0.338825,0.218926,0.196293,0.303537,0.065601,0.531077,LMC0017,w
mflo,0.507099,0.35615,0.223397,0.188897,0.33467,0.079879,0.558696,LMC0077,w
mflo,0.448564,0.352761,0.228968,0.17206,0.284277,0.072036,0.573247,LMC0084,w
mflo,0.447488,0.319006,0.198923,0.16903,0.280121,NA,NA,LMC0115,w
mflo,0.499063,0.352183,0.231162,0.181183,0.3075,0.084517,0.594611,LMC0139,w
mflo,0.48724,0.351939,0.227104,0.191811,0.307854,0.070655,0.604268,LMC0163,w
mflo,0.493168,0.354851,NA,0.184815,0.325798,0.076594,0.535482,LMC0246,w
mflo,0.475485,0.329857,0.20369,0.168808,0.300387,0.070761,0.545682,LMC0301,w
mflo,0.487587,0.344403,0.215435,NA,0.287595,0.080606,NA,LMC0302,w
mpsw,0.38,0.277,0.183,0.164,0.253,0.058,0.409,BMW00053,w
mpsw,0.411,0.292,0.193,0.185,0.25,0.061,0.447,BMW00385,w
mpsw,0.398,0.287,0.183,0.181,0.237,0.055,0.437,BMW00386,w
mpsw,0.385,0.285,0.18,0.164,0.213,0.054,0.436,BMW00845,w
mpsw,0.347,0.264,0.174,0.146,0.212,0.049,0.409,BMW01667,w
mpsw,0.352,0.289,0.182,0.169,0.226,0.053,0.417,BMW01687,w
mpsw,0.372541,0.286106,0.186646,0.158158,0.222592,0.051964,0.401569,LMC0027,w
mpsw,0.383223,0.28225,0.174456,0.151129,0.214275,0.05466,0.432263,LMC0173,w
mpsw,0.352316,0.274718,0.183731,0.156022,0.212202,0.053455,NA,LMC0197,w
mpsw,0.373476,0.294214,0.186432,0.155076,0.207887,0.055639,0.382008,LMC0377,w
ntay,0.705106,NA,0.342809,NA,NA,0.135415,1.177279,LMC0007,w
ntay,0.739736,0.524846,0.367832,0.316526,0.604146,0.144687,1.181655,LMC0018,w
ntay,0.71657,0.493433,0.371255,0.283071,0.640527,0.185206,NA,LMC0024,w
ntay,0.7714,0.525014,0.38642,0.324636,0.694086,0.169034,1.308414,LMC0036,w
ntay,0.735324,0.502341,0.38261,0.308628,0.690356,0.120209,1.240614,LMC0040,w
ntay,0.763017,0.537796,0.409553,0.301911,0.68,0.145319,1.437585,LMC0052,w
ntay,0.914156,0.617887,0.467843,0.358536,0.8348,0.158408,1.400124,LMC0064,w
ntay,0.70412,0.503125,0.35685,0.26488,0.618563,0.153479,1.110477,LMC0068,w
ntay,0.765658,0.545751,0.383372,0.307423,0.7043,0.166371,1.352649,LMC0093,w
ntay,0.657276,0.456668,0.329721,0.252612,0.566473,0.128037,1.062463,LMC0099,w
ntay,0.636697,0.438015,0.310008,0.249014,0.563879,0.138014,1.085876,LMC0114,w
ntay,0.828032,0.552697,0.384,0.303659,0.686456,0.186222,1.344866,LMC0121,w
ntay,0.785001,0.525279,0.397176,0.288277,0.598902,0.160451,1.324299,LMC0126,w
ntay,0.810252,0.567611,0.427403,0.305131,0.73377,0.172145,1.381791,LMC0137,w
ntay,0.785215,0.533777,0.400039,0.284174,0.701545,0.169691,1.291088,LMC0146,w
pdiv,2.099,1.521000001,1.095999999,0.623,1.716,0.38,3.592,BMW00930,w
pdiv,2.133,1.529,1.079000001,0.657000001,1.758,0.365000001,3.766,BMW01798,w
pdiv,2.367209,1.612064999,1.100065001,0.711299001,1.737425,0.401560999,4.053521001,LMC0136,w
pdiv,2.284472,1.58908,1.107427,0.700037001,1.791695999,0.38683,4.048799001,LMC0144,w
pdiv,2.113433,1.497903999,NA,0.667459999,1.827023001,0.379701,NA,LMC0227,w
pdiv,2.259139,1.667713001,NA,0.717692,1.955545999,0.372113001,4.400904,LMC0248,w
pdiv,2.39111,1.562343001,1.108337001,0.660082,1.857117999,0.373395001,4.029641001,LMC0298,w
pdiv,2.049083,1.539967,1.043501999,0.687802001,1.811236,0.375084,4.071886,MP0003,w
pdiv,2.141979,1.553199001,1.050758001,0.717988,1.742988001,0.395411001,4.155309,MP0048,w
pdiv,2.297993,1.532790001,1.062353,0.649298,1.579412999,0.40603,3.865796001,MP0068,w
pfer,0.917093,0.638338,0.388865,0.4146,0.843013,0.140134,1.593783,LMC0156,w
pfer,0.84665,0.606732,0.343121,0.393253,0.734716,0.135912,1.38179,LMC0209,w
pfer,0.859027,0.632165,NA,0.448349,0.753808,0.125619,1.433262,LMC0224,w
pfer,0.898268,0.636839,0.381277,0.452697,0.817972,0.121183,1.540072,LMC0234,w
pfer,0.924158,0.640547,0.364657,0.427016,0.786235,0.142091,1.527806,LMC0259,w
pfer,0.90628,0.645411,0.379759,0.417061,0.797553,0.131272,1.55885,LMC0275,w
pfer,0.889903,0.610885,0.370991,0.407368,0.78799,0.122678,1.498873,LMC0281,w
pfer,0.870674,0.624603,0.367867,0.388204,0.747458,0.124392,1.480902,LMC0387,w
